unit,isced11,indic_wb,sex,age,time\geo	EU 	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	RS 	TR 
RTG,TOTAL,LEGTST,T,Y_GE16,2013	4.6 	4.6 	5.0 	3.0 	3.8 	7.5 	5.3 	5.2 	5.1 	4.1 	3.1 	4.5 	3.3 	3.6 	3.6 	4.5 	4.9 	5.3 	5.1 	4.9 	6.2 	6.0 	4.2 	2.9 	5.8 	2.7 	3.6 	7.2 	6.7 	5.5 	5.7 	7.2 	7.0 	3.4 	5.4 
RTG,TOTAL,LEGTST,T,Y_GE75,2013	4.7 	4.7 	5.0 	3.1 	3.8 	7.3 	5.9 	5.1 	5.4 	4.5 	3.2 	4.4 	3.5 	3.6 	4.5 	4.6 	5.0 	5.0 	5.4 	5.4 	6.0 	5.7 	4.4 	3.1 	5.5 	2.5 	3.6 	7.4 	6.9 	5.6 	5.7 	7.3 	7.0 	3.8 	5.8 
RTG,TOTAL,OTHTST,F,Y16-24,2013	6.0 	6.0 	5.9 	4.8 	6.3 	8.2 	5.4 	5.9 	5.8 	5.8 	6.7 	4.7 	5.6 	5.9 	4.7 	6.9 	7.0 	5.6 	5.7 	5.8 	7.0 	6.0 	6.4 	5.7 	7.0 	6.8 	6.4 	7.5 	6.8 	5.6 	6.7 	6.9 	6.0 	4.9 	4.3 
RTG,TOTAL,OTHTST,F,Y25-34,2013	5.8 	5.8 	5.6 	4.4 	5.5 	8.4 	5.3 	6.1 	6.2 	5.8 	6.3 	5.0 	5.5 	5.7 	4.6 	6.6 	6.1 	5.5 	5.3 	5.9 	6.8 	6.0 	6.1 	5.3 	6.5 	6.4 	6.0 	7.8 	6.8 	5.8 	7.1 	7.3 	6.3 	4.3 	4.3 
RTG,TOTAL,OTHTST,F,Y35-49,2013	5.8 	5.8 	5.6 	4.1 	5.4 	8.5 	5.3 	5.9 	6.4 	5.3 	6.3 	4.8 	5.1 	5.8 	4.5 	6.5 	6.1 	5.2 	5.3 	6.0 	6.9 	5.7 	5.9 	5.2 	6.4 	6.5 	5.7 	7.7 	7.0 	6.0 	7.2 	7.4 	6.3 	4.1 	4.3 
RTG,TOTAL,OTHTST,F,Y50-64,2013	5.8 	5.8 	5.7 	4.2 	5.1 	8.4 	5.4 	5.8 	6.5 	5.2 	6.3 	5.1 	5.2 	5.7 	4.4 	6.4 	5.9 	5.4 	5.2 	6.1 	6.9 	6.0 	5.9 	5.0 	6.1 	6.5 	5.6 	7.4 	7.0 	6.2 	7.2 	7.7 	6.5 	4.1 	4.6 
RTG,TOTAL,OTHTST,F,Y65-74,2013	5.9 	5.9 	5.9 	4.0 	5.2 	8.4 	5.8 	5.8 	6.7 	5.1 	6.3 	5.1 	4.9 	5.6 	4.7 	6.5 	6.1 	5.5 	5.2 	6.6 	7.0 	5.9 	5.9 	5.1 	6.3 	6.4 	5.8 	7.4 	7.2 	6.6 	7.4 	7.8 	6.8 	4.2 	5.1 
RTG,TOTAL,OTHTST,F,Y_GE16,2013	5.8 	5.8 	5.7 	4.2 	5.4 	8.4 	5.5 	5.9 	6.4 	5.3 	6.3 	5.0 	5.1 	5.7 	4.6 	6.5 	6.2 	5.4 	5.3 	6.2 	6.9 	5.9 	6.0 	5.2 	6.4 	6.5 	5.8 	7.5 	7.0 	6.1 	7.2 	7.5 	6.4 	4.2 	4.5 
RTG,TOTAL,OTHTST,F,Y_GE75,2013	5.9 	5.9 	6.0 	4.1 	5.3 	8.4 	6.0 	5.7 	6.5 	4.9 	6.3 	4.9 	5.0 	5.4 	4.8 	6.5 	6.1 	5.7 	5.3 	6.9 	7.0 	5.6 	6.1 	5.3 	6.0 	6.4 	5.7 	7.2 	7.0 	6.8 	8.0 	7.9 	6.8 	4.4 	5.2 
RTG,TOTAL,OTHTST,M,Y16-24,2013	6.0 	6.0 	6.0 	4.5 	5.7 	8.2 	5.5 	6.0 	6.1 	6.1 	6.7 	4.7 	5.6 	6.0 	4.5 	6.8 	6.5 	5.9 	5.6 	5.7 	6.8 	6.1 	6.4 	6.2 	7.0 	6.6 	6.1 	7.4 	6.7 	5.7 	6.9 	6.9 	5.8 	4.7 	4.6 
